,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320173 (Month 4).mp3,-269.2813481483747,117.70107034192046,-1.866399263759301,26.66212712293412,-6.59385574908948,-0.994731288931537,-14.09769770532903,6.905888915333789,-6.668752821955871,-8.031967225310982,-5.541643843063295,0.10515903430862975,0.09465543334164692
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320125 (Month 16).mp3,-300.5783281506027,72.82981412742897,-7.790493524079627,23.827636118761724,-10.017589573194236,2.5100550889625146,-21.450744296217593,-6.417949667706212,-16.45902738584808,-11.054039428816306,-17.40854230882934,-5.835814535441614,-5.627240483811864
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330246 (Contact 8).mp3,-425.3495276783927,164.28620054194263,-59.53238474702526,-8.327330839274707,-1.6250401052626917,-10.062507187837882,-4.610608894134659,-40.625348280090215,-14.216463924039264,5.977210002534855,-8.77913130659373,5.958367477763567,-4.943680889867668
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330017 (Contact 11).mp3,-548.3385545915643,71.2898180641789,-2.3283049849621555,1.8470530864106345,-5.227994262657233,-4.65312039074427,-0.22429761979628648,-13.625508653319205,-6.302559473961353,-4.45403583787162,-10.959853462889152,-0.14467949174998415,-1.8130667585679745
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330003 (Contact 23).mp3,-522.8772963536919,130.07330858389614,-25.10007412758396,-7.383812975183471,-2.04861608574252,-6.517149333457747,-7.009886389211085,-26.07504468348025,-6.760816391432239,4.202396305055702,-7.919008720413897,1.6885565374387326,-1.0674348765554451
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320115 (Contact 3).mp3,-458.0542741088371,119.3332426065054,-44.747467199183724,-17.5855219025062,0.005880883252169962,-4.800013240337946,-4.845634782736613,-21.679073456146305,-6.271209955105302,2.2308081766712613,-7.199572872810708,1.4376199147246087,-1.805155080462692
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330064 (Contact 6).mp3,-551.9732621368887,81.27295894976908,-8.79050802083803,-9.329926699081591,-9.134093073804278,-7.8171133812151785,-0.8265757440949896,-8.243289501987245,0.5311636019913606,4.910866140749361,-4.474560003642572,1.6270923296071143,2.7185922029683844
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320149 (Month 12).mp3,-395.6883490331813,117.00750519186927,-13.151081964567377,-5.185431045327582,-7.432283927284474,-6.697920438579417,-21.41285787457527,-25.463363822934287,-7.685484912443021,-7.662404745905978,-14.143828749656093,1.3235265611428153,-4.258420402454623
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330084 (Contact 11).mp3,-403.9022191743082,104.5468446075621,-81.06745062225669,-13.01592864156391,7.249973720923267,-22.437293899803954,-13.782203516486119,-10.822687707661881,3.1358768529406045,-1.1885943950986613,-8.082006843125175,7.9664360381547,-4.082853698100309
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320140 (Month 8).mp3,-286.81648731826334,87.09545525651336,-7.2778337658933925,15.658874021223713,-25.234947409332754,10.532016762804606,-14.2792297209456,2.9580814371725555,-7.274187875920956,-6.173793013033195,-8.453993768737703,-4.630308054638395,-3.011625255754199
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330084 (Contact 9).mp3,-458.612877561136,108.43581760086214,-93.13021391875856,-8.23433019093202,14.954139815743806,-16.41277507395791,-11.191576415709273,-21.652268991175923,-2.0132258405581758,5.228787366341847,-8.25644945388535,6.379264264196453,2.4159583138113
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330003 (Contact 26).mp3,-467.3922503965953,107.37692563996372,-30.73125857358064,-7.629152634539276,0.10080502406064357,-7.903229858773169,-3.9701376874686107,-17.088045256965817,-5.997726626644612,-1.6955919598494351,-10.997542057027164,2.0196458440905873,-0.033255173918866225
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320215 (Baseline).mp3,-250.28535538521413,69.62078212221346,-23.420609694538335,19.928443553672146,-30.695437248803866,4.5271933427733915,-37.00088982373587,-0.6854777158264629,-14.932958921026843,-0.49802591675198377,-10.759153266311865,-5.067875602152625,-10.60995252331035
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330006 (Contact 21).mp3,-469.89166598523764,101.17369994533928,-38.25113623198157,4.749424550475728,2.050450699072908,-20.241780644019375,-9.231005998698457,-12.098793415337237,-3.8238323115077066,-7.529344297789841,-9.04520736113326,7.815947322361263,-0.4196319288731296
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330234 (Contact 14).mp3,-631.6047441198648,51.304112920712114,-10.671374654515438,1.3622136895497996,-1.536074759869063,-15.501408824953232,-9.618208148260715,-6.593602179484697,-2.6738668588033363,-0.4799899806077295,-5.800527734406493,-1.4435840781757703,2.6465953525457144
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320168 (Baseline).mp3,-350.9944311749471,70.61410098888838,-3.3905137864488197,-10.333551058640792,-8.241774701666253,0.9540021402253446,-14.360284344981187,4.634028496122262,-11.585798302216025,-8.77343280453322,-14.962742350541888,6.291452319223971,-9.302146767445793
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320165 (Month 8).mp3,-216.66661104461457,82.83431419874451,-32.5233640945876,28.411095693095305,-32.15014513560232,-2.6726843651543777,-27.343148209663564,-1.1980737115135176,-13.647994070509867,-4.671293450774122,-4.073691393573632,-3.6186044976251193,-5.296042377502652
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330018 (Contact 28).mp3,-566.3969037831455,146.89253840725777,-81.91254428970308,15.197618095612786,7.064129419578772,-29.381277319524397,1.5242403755485525,-18.116789438154075,-2.3568066210271335,10.776450297847317,-7.85743424837649,5.884439574945467,-0.43073138033220315
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320129 (Month 12).mp3,-307.5795384010457,122.71647570402084,16.350054095520015,27.383551587513217,-1.987308747693892,11.815598881633669,5.680777181770099,10.205389064714995,6.9742958494470715,11.862162763540882,-5.971769948575995,7.9221288642052645,0.453238634303251
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320170 (Month 16).mp3,-377.59210361701315,73.08093168751802,2.8516776329188103,41.7917356791195,-18.63231431891036,4.305496421308167,-9.597267181162263,3.3559758441625207,4.738463042534843,0.2312642120808027,-14.540288346168348,1.283689795939437,-2.4944241436038097
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320170 (Baseline).mp3,-135.2225404417404,26.759248497288098,8.842590307408162,7.185826438133932,-9.94740106361535,-20.632578208887587,-26.498150453999028,-6.615781274798429,-4.630993485820077,-3.99991940828302,-14.406911293070845,3.333276395574771,-8.227749934583157
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320129 (Month 8).mp3,-373.36510841266346,81.63410633701695,5.31311863271941,26.871599411916982,3.6572562208950132,1.8124293161839948,-1.6706040931196628,15.302973857489073,10.458154314183792,9.798175366982614,-6.292260693651603,-2.612352605995615,2.9333117620518165
