epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.21874,4.29846,4.06093,4.01634,0.00154,0.22222,0.00391,0.00078,4.15347,3.99495,4.10288,0.00018,0.00018,0.00018
2,10.3473,2.77926,2.67771,2.18496,0.00901,0.83951,0.27376,0.10845,2.68252,3.00511,1.32908,0.000376238,0.000376238,0.000376238
3,14.0135,2.12167,2.27529,1.67296,0.40351,0.40741,0.4051,0.1762,2.19837,2.58335,1.13825,0.000568516,0.000568516,0.000568516
4,17.5176,1.92996,2.08251,1.56753,0.5224,0.48618,0.44587,0.23607,1.95648,2.4347,1.2656,0.000756834,0.000756834,0.000756834
5,20.6434,1.92973,1.89559,1.55665,0.41824,0.45679,0.34035,0.14543,2.15337,2.25447,1.42188,0.000941192,0.000941192,0.000941192
6,23.6651,1.86564,1.85716,1.53801,0.18688,0.18519,0.1185,0.02781,3.11278,2.29715,1.77318,0.00112159,0.00112159,0.00112159
7,26.2801,1.93251,1.84403,1.50095,0.51158,0.38272,0.38556,0.09918,2.70891,3.05742,1.37282,0.00129803,0.00129803,0.00129803
8,29.0479,1.7993,1.74236,1.46214,0.3063,0.51852,0.30935,0.09557,2.77817,2.14688,1.14774,0.00147051,0.00147051,0.00147051
9,31.8083,1.77912,1.75831,1.48381,0.13154,0.09877,0.053,0.01155,3.88205,3.1659,2.13571,0.00163902,0.00163902,0.00163902
10,34.3983,1.845,1.74505,1.47387,0.2464,0.34568,0.22257,0.07187,2.88625,2.33189,1.79031,0.00180358,0.00180358,0.00180358
11,37.2021,1.76205,1.69889,1.46178,0.40757,0.61728,0.42346,0.209,2.12306,2.56266,1.05448,0.001802,0.001802,0.001802
12,39.9123,1.7991,1.70856,1.45321,0.4551,0.51558,0.41269,0.20478,2.02923,2.48214,1.10222,0.0017822,0.0017822,0.0017822
13,42.3176,1.71691,1.63454,1.43553,0.36888,0.46914,0.41253,0.14242,2.49679,4.24773,1.73861,0.0017624,0.0017624,0.0017624
14,44.8564,1.747,1.57853,1.40693,0.57649,0.55457,0.55397,0.25819,1.80685,2.06431,0.83997,0.0017426,0.0017426,0.0017426
15,47.8375,1.67313,1.51774,1.38748,0.51685,0.47549,0.3625,0.16806,2.09244,1.71019,1.10825,0.0017228,0.0017228,0.0017228
16,50.3514,1.6301,1.49311,1.37401,0.55361,0.50528,0.48154,0.26985,1.76575,2.35501,0.86528,0.001703,0.001703,0.001703
17,53.0801,1.62528,1.47896,1.35398,0.44724,0.46914,0.38273,0.19747,2.09394,1.95985,1.18286,0.0016832,0.0016832,0.0016832
18,55.7783,1.63287,1.55272,1.34852,0.41699,0.59162,0.44356,0.24131,1.93915,1.66526,1.03194,0.0016634,0.0016634,0.0016634
19,58.1942,1.64261,1.57543,1.38732,0.57615,0.62963,0.58364,0.26076,1.84671,1.62347,0.90543,0.0016436,0.0016436,0.0016436
20,60.8943,1.6302,1.45098,1.35874,0.50054,0.45779,0.54648,0.3224,1.84065,1.45199,0.93643,0.0016238,0.0016238,0.0016238
21,63.9583,1.56763,1.45261,1.33708,0.63219,0.58025,0.60344,0.3398,1.66135,1.5825,0.94202,0.001604,0.001604,0.001604
22,66.7711,1.54938,1.42278,1.31506,0.58689,0.65432,0.60393,0.32809,1.67001,1.41377,0.95731,0.0015842,0.0015842,0.0015842
23,69.4993,1.47591,1.34552,1.30381,0.54225,0.67275,0.56859,0.29781,1.66989,1.32616,0.99316,0.0015644,0.0015644,0.0015644
24,71.9911,1.52786,1.435,1.28802,0.56489,0.68923,0.6195,0.29283,1.81524,1.75377,1.11164,0.0015446,0.0015446,0.0015446
25,74.725,1.48634,1.36963,1.2867,0.51483,0.69136,0.65432,0.36125,1.52023,1.30202,0.92784,0.0015248,0.0015248,0.0015248
26,77.6375,1.57679,1.39853,1.31442,0.57017,0.64198,0.58002,0.29672,1.77183,1.48674,1.05538,0.001505,0.001505,0.001505
27,80.2493,1.51434,1.3795,1.27501,0.59531,0.63565,0.67258,0.36962,1.61867,1.97929,0.77597,0.0014852,0.0014852,0.0014852
28,83.0639,1.47245,1.35679,1.28146,0.53739,0.7037,0.58784,0.36118,1.45036,1.53093,0.70319,0.0014654,0.0014654,0.0014654
29,85.7301,1.4797,1.3437,1.28033,0.64605,0.60494,0.64349,0.41743,1.4695,1.27621,0.75605,0.0014456,0.0014456,0.0014456
30,88.7149,1.50001,1.34979,1.27079,0.58356,0.62283,0.60002,0.35971,1.5816,1.29908,0.87336,0.0014258,0.0014258,0.0014258
31,91.2531,1.47586,1.32682,1.28133,0.6243,0.69755,0.66274,0.42561,1.43014,1.16755,0.80457,0.001406,0.001406,0.001406
32,94.3733,1.44022,1.28791,1.26439,0.51776,0.75555,0.62484,0.40661,1.46117,1.12164,0.72094,0.0013862,0.0013862,0.0013862
33,96.9241,1.44923,1.28001,1.23318,0.55862,0.76543,0.71064,0.42114,1.51871,1.15267,0.84475,0.0013664,0.0013664,0.0013664
34,99.7204,1.4195,1.33912,1.24457,0.56269,0.59259,0.60318,0.38151,1.63231,1.53302,0.81328,0.0013466,0.0013466,0.0013466
