epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75747,3.27219,6.32333,2.34546,0.00427,0.61728,0.01808,0.00334,3.51914,3.82124,1.64629,0.00065,0.00065,0.00065
2,8.77824,2.33967,2.64248,1.50599,0.17387,0.18519,0.08822,0.01707,2.99321,3.736,1.30153,0.00130798,0.00130798,0.00130798
3,12.7518,2.16874,2.41703,1.41425,0.16217,0.3274,0.1336,0.02633,2.78884,3.29822,1.12501,0.00195715,0.00195715,0.00195715
4,16.6604,2.03535,2.50264,1.3904,0.23703,0.28395,0.19207,0.06773,2.91579,2.36823,1.14475,0.0019604,0.0019604,0.0019604
5,20.6249,2.04236,2.15839,1.35175,0.28252,0.39506,0.23906,0.07669,2.52327,2.34663,1.17852,0.0019472,0.0019472,0.0019472
6,24.6094,1.85439,2.03941,1.28019,0.33381,0.44444,0.28666,0.08636,2.49714,2.53559,0.93811,0.001934,0.001934,0.001934
7,28.5449,1.76854,1.94772,1.21769,0.27865,0.45679,0.30078,0.10056,2.23315,2.21817,0.856,0.0019208,0.0019208,0.0019208
8,32.5062,1.69806,1.82884,1.18906,0.4867,0.44483,0.42471,0.12958,2.35644,3.9499,0.81047,0.0019076,0.0019076,0.0019076
9,36.4742,1.68353,1.90394,1.17251,0.28022,0.39506,0.29086,0.0896,2.58776,1.98463,0.9915,0.0018944,0.0018944,0.0018944
10,40.195,1.68781,1.85838,1.15106,0.43332,0.45679,0.41972,0.12976,2.18396,2.14408,0.77671,0.0018812,0.0018812,0.0018812
11,44.006,1.6436,1.86516,1.12899,0.34711,0.45291,0.34744,0.12884,2.12798,2.5786,0.70401,0.001868,0.001868,0.001868
12,47.7352,1.59443,1.72153,1.11201,0.3552,0.45679,0.33736,0.17096,2.04494,1.76646,0.76447,0.0018548,0.0018548,0.0018548
13,51.6487,1.55564,1.6574,1.09678,0.28841,0.44444,0.32029,0.14938,2.22566,1.83235,0.74431,0.0018416,0.0018416,0.0018416
14,55.3964,1.49359,1.67922,1.07357,0.48711,0.38272,0.47333,0.22138,2.01103,2.33983,0.7051,0.0018284,0.0018284,0.0018284
15,59.3377,1.47632,1.64402,1.04807,0.35943,0.51852,0.3666,0.14657,2.04251,2.33213,0.69904,0.0018152,0.0018152,0.0018152
16,63.1465,1.47666,2.77662,1.03242,0.52551,0.59259,0.56651,0.20466,2.34451,1.51621,0.72975,0.001802,0.001802,0.001802
17,66.8108,1.52092,1.73968,1.05849,0.46381,0.55556,0.50865,0.19069,2.14933,2.28351,0.70524,0.0017888,0.0017888,0.0017888
18,70.5307,1.46843,1.64957,1.04284,0.53305,0.50617,0.56362,0.2757,1.95519,1.57682,0.63915,0.0017756,0.0017756,0.0017756
19,74.3984,1.41867,1.54037,1.02862,0.57035,0.51852,0.54516,0.22381,2.10781,1.83354,0.74083,0.0017624,0.0017624,0.0017624
20,78.1724,1.43542,1.55258,1.00846,0.4225,0.61728,0.44031,0.1779,2.00827,1.62764,0.68629,0.0017492,0.0017492,0.0017492
21,81.9572,1.4498,1.63673,0.99673,0.4323,0.5679,0.43736,0.18255,2.08397,1.66465,0.6686,0.001736,0.001736,0.001736
22,85.7012,1.39916,1.64989,0.99645,0.49705,0.54321,0.47203,0.22916,1.87229,1.61956,0.66272,0.0017228,0.0017228,0.0017228
23,89.4286,1.33443,1.54972,0.98543,0.5127,0.53086,0.54729,0.2484,2.01141,1.74804,0.64426,0.0017096,0.0017096,0.0017096
